kind,exam_id,examination,conducting_body,file,requirement_id,what_we_hold_now,what_is_missing,what_would_settle_it,source_we_hold,YOUR_published_value,YOUR_exact_passage_from_the_notice,YOUR_source_url,YOUR_page_or_section,YOUR_date_checked,YOUR_notes
not_yet_supported,indian-air-force-agniveervayu-recruitment,Indian Air Force Agniveervayu Recruitment,Indian Air Force,Qualification/supporting document scans (as prompted),qualification_supporting_document_scans_as_promp,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://agnipathvayu.cdac.in/,,,,,,
not_yet_supported,indian-army-agniveer-cee-2025-26-online-upload,Indian Army Agniveer CEE 2025-26 - online upload,Indian Army,Candidate photograph,candidate_photograph,Uploaded candidate photograph; format: JPG/JPEG; background: white; recency: within 90 days.,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://www.joinindianarmy.nic.in/writereaddata/Portal/BRAVO_NotificationPDF/AGNIVEER_NOTIFICATION_ARUNACHAL_PRADESH_2025-26.pdf,,,,,,
estimated_value,indian-army-agniveer-cee-2025-26-online-upload,Indian Army Agniveer CEE 2025-26 - online upload,Indian Army,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://www.joinindianarmy.nic.in/writereaddata/Portal/BRAVO_NotificationPDF/AGNIVEER_NOTIFICATION_ARUNACHAL_PRADESH_2025-26.pdf,,,,,,
estimated_value,indian-army-agniveer-cee-2025-26-online-upload,Indian Army Agniveer CEE 2025-26 - online upload,Indian Army,Category/domicile/education certificates,category_domicile_education_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://www.joinindianarmy.nic.in/writereaddata/Portal/BRAVO_NotificationPDF/AGNIVEER_NOTIFICATION_ARUNACHAL_PRADESH_2025-26.pdf,,,,,,
not_yet_supported,indian-army-agniveer-recruitment,Indian Army Agniveer Recruitment,Indian Army,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://joinindianarmy.nic.in/,,,,,,
estimated_value,indian-army-agniveer-recruitment,Indian Army Agniveer Recruitment,Indian Army,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://joinindianarmy.nic.in/,,,,,,
not_yet_supported,indian-army-agniveer-recruitment,Indian Army Agniveer Recruitment,Indian Army,Educational/identity/eligibility document scans (as required by the active application),educational_identity_eligibility_document_scans_,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://joinindianarmy.nic.in/,,,,,,
not_yet_supported,jawahar-navodaya-vidyalaya-selection-test-class-vi,Jawahar Navodaya Vidyalaya Selection Test Class VI,Navodaya Vidyalaya Samiti / CBSE,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://navodaya.gov.in/,,,,,,
estimated_value,jawahar-navodaya-vidyalaya-selection-test-class-vi,Jawahar Navodaya Vidyalaya Selection Test Class VI,Navodaya Vidyalaya Samiti / CBSE,Candidate/parent signature or consent asset (as prompted),candidate_parent_signature_or_consent_asset_as_p,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://navodaya.gov.in/,,,,,,
estimated_value,jawahar-navodaya-vidyalaya-selection-test-class-vi,Jawahar Navodaya Vidyalaya Selection Test Class VI,Navodaya Vidyalaya Samiti / CBSE,Residence/eligibility supporting certificate(s) (where prompted),residence_eligibility_supporting_certificate_s_w,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://navodaya.gov.in/,,,,,,
no_researched_fact,jawahar-navodaya-vidyalaya-selection-test-class-vi,Jawahar Navodaya Vidyalaya Selection Test Class VI,Navodaya Vidyalaya Samiti / CBSE,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://navodaya.gov.in/,,,,,,
not_yet_supported,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,Candidate photograph,candidate_photograph,A candidate photograph is required in the registration process; exact current file format/size was not found in the supplied photo evidence.,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,Class X/birth-date proof,class_x_birth_date_proof,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,Class XII/equivalent certificate or testimonial,class_xii_equivalent_certificate_or_testimonial,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,GEN-EWS/OBC-NCL/SC/ST certificate,gen_ews_obc_ncl_sc_st_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,PwD/dyslexia/difficulty-in-writing certificate,pwd_dyslexia_difficulty_in_writing_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,Scribe forms,scribe_forms,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
estimated_value,jee-advanced-2026,JEE (Advanced) 2026,Joint Admission Board / IIT Roorkee,Defence Service certificate (DS),defence_service_certificate_ds,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,,,,,,
not_yet_supported,jharkhand-police-constable-recruitment,Jharkhand Police Constable Recruitment,Jharkhand Staff Selection Commission,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://jssc.nic.in/,,,,,,
estimated_value,jharkhand-police-constable-recruitment,Jharkhand Police Constable Recruitment,Jharkhand Staff Selection Commission,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://jssc.nic.in/,,,,,,
no_researched_fact,jharkhand-police-constable-recruitment,Jharkhand Police Constable Recruitment,Jharkhand Staff Selection Commission,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://jssc.nic.in/,,,,,,
estimated_value,jkssb-police-constable-recruitment,JKSSB Police Constable Recruitment,Jammu & Kashmir Services Selection Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://jkssb.nic.in/Dynamic-jkssb-test/Pages/Applicant/InstructionsCivil.html,,,,,,
not_yet_supported,joint-entrance-examination-council-uttar-pradesh-polytechnic-entrance,Joint Entrance Examination Council Uttar Pradesh Polytechnic Entrance,Joint Entrance Examination Council Uttar Pradesh,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://jeecup.admissions.nic.in/document/information-broucher-2025/,,,,,,
estimated_value,joint-entrance-examination-council-uttar-pradesh-polytechnic-entrance,Joint Entrance Examination Council Uttar Pradesh Polytechnic Entrance,Joint Entrance Examination Council Uttar Pradesh,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://jeecup.admissions.nic.in/document/information-broucher-2025/,,,,,,
not_yet_supported,jssc-combined-graduate-level-examination,JSSC Combined Graduate Level Examination,Jharkhand Staff Selection Commission,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://jssc.nic.in/,,,,,,
estimated_value,jssc-combined-graduate-level-examination,JSSC Combined Graduate Level Examination,Jharkhand Staff Selection Commission,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://jssc.nic.in/,,,,,,
not_yet_supported,karnataka-teacher-eligibility-test,Karnataka Teacher Eligibility Test,School Education Department Karnataka,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://sts.karnataka.gov.in/TET/,,,,,,
estimated_value,karnataka-teacher-eligibility-test,Karnataka Teacher Eligibility Test,School Education Department Karnataka,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://sts.karnataka.gov.in/TET/,,,,,,
estimated_value,karnataka-common-entrance-test-2026,Karnataka Common Entrance Test 2026,Karnataka Examinations Authority,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://engineering.careers360.com/articles/kcet-photo-signature-size-guidelines,,,,,,
estimated_value,karnataka-common-entrance-test-2026,Karnataka Common Entrance Test 2026,Karnataka Examinations Authority,Left thumb impression,left_thumb_impression,"min 20 KB, max 50 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://engineering.careers360.com/articles/kcet-photo-signature-size-guidelines,,,,,,
estimated_value,karnataka-common-entrance-test-2026,Karnataka Common Entrance Test 2026,Karnataka Examinations Authority,Parent/guardian signature,parent_guardian_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://engineering.careers360.com/articles/kcet-photo-signature-size-guidelines,,,,,,
estimated_value,karnataka-psc-online-application,Karnataka PSC Online Application,Karnataka Public Service Commission,Claim-supporting certificates,claim_supporting_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://apply.registernow.in/KPSC/Registration/,,,,,,
not_yet_supported,karnataka-psc-online-application,Karnataka PSC Online Application,Karnataka Public Service Commission,Claim-supporting documents,claim_supporting_documents,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://apply.registernow.in/KPSC/Registration/,,,,,,
no_researched_fact,karnataka-psc-online-application,Karnataka PSC Online Application,Karnataka Public Service Commission,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://apply.registernow.in/KPSC/Registration/,,,,,,
not_yet_supported,kendriya-vidyalaya-sangathan-direct-recruitment-examination,Kendriya Vidyalaya Sangathan Direct Recruitment Examination,Kendriya Vidyalaya Sangathan,Candidate photograph,candidate_photograph,JPG/JPEG; numeric maximum not published in the detailed notification,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://www.cbse.gov.in/cbsenew/documents/Detailed_Notification_KVS_NVS_2025_13112025.pdf,,,,,,
estimated_value,kendriya-vidyalaya-sangathan-direct-recruitment-examination,Kendriya Vidyalaya Sangathan Direct Recruitment Examination,Kendriya Vidyalaya Sangathan,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg/jpeg (ours: file_size.maximum_bytes, file_size.minimum_bytes)",The published size limit and size limit,This file's upload instructions in the current notice,https://www.cbse.gov.in/cbsenew/documents/Detailed_Notification_KVS_NVS_2025_13112025.pdf,,,,,,
not_yet_supported,kerala-engineering-architecture-medical-entrance-examination,Kerala Engineering Architecture Medical Entrance Examination,Commissioner for Entrance Examinations Kerala,Annual family income supporting document,annual_family_income_supporting_document,PDF; less than 500 KB,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cee.kerala.gov.in/keamonline2026/pdf/howtoupload.pdf,,,,,,
partially_supported,kerala-psc-one-time-registration,Kerala PSC One Time Registration,Kerala Public Service Commission,Candidate photograph,candidate_photograph,Uploaded candidate photograph; format: JPG; file size: up to 30 Kb; dimensions: 150 x 200 px; recency: within 180 days.,"Exactly what must be printed on the photograph (name, date), where, and in what style",The notice's wording on the printed name and date,https://psc.kerala.gov.in/kpsc/faq.php,,,,,,
estimated_value,kerala-psc-one-time-registration,Kerala PSC One Time Registration,Kerala Public Service Commission,Claim-supporting certificates,claim_supporting_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://psc.kerala.gov.in/kpsc/faq.php,,,,,,
not_yet_supported,mah-mba-mms-cet,MAH MBA/MMS CET,State Common Entrance Test Cell Maharashtra,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MAH-MBA-MMS-CET-2026-Information-Brochure.pdf,,,,,,
estimated_value,mah-mba-mms-cet,MAH MBA/MMS CET,State Common Entrance Test Cell Maharashtra,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MAH-MBA-MMS-CET-2026-Information-Brochure.pdf,,,,,,
not_yet_supported,maharashtra-police-recruitment,Maharashtra Police Recruitment,Maharashtra Police,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://policerecruitment2024.mahait.org/,,,,,,
estimated_value,maharashtra-police-recruitment,Maharashtra Police Recruitment,Maharashtra Police,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://policerecruitment2024.mahait.org/,,,,,,
not_yet_supported,mht-cet-2026,MHT-CET 2026,"State Common Entrance Test Cell, Maharashtra",Candidate photograph,candidate_photograph,Uploaded candidate photograph; file size: 100-5 mixed: KB minimum; MB maximum; background: light or white.,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MHT-CET-2026-Information-Brochure-Updated-on-11.04.2026.pdf,,,,,,
estimated_value,mht-cet-2026,MHT-CET 2026,"State Common Entrance Test Cell, Maharashtra",Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MHT-CET-2026-Information-Brochure-Updated-on-11.04.2026.pdf,,,,,,
estimated_value,mht-cet-2026,MHT-CET 2026,"State Common Entrance Test Cell, Maharashtra",Disability certificate,disability_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MHT-CET-2026-Information-Brochure-Updated-on-11.04.2026.pdf,,,,,,
not_yet_supported,mht-cet-2026,MHT-CET 2026,"State Common Entrance Test Cell, Maharashtra",Scribe declaration form (Appendix 3),scribe_declaration_form_appendix_3,"Prescribed proforma at Appendix 3, naming a primary and an alternate scribe with their highest educational qualifications. Uploaded and carried to the examination centre with the Hall Ticket. No file size or format is published.","The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MHT-CET-2026-Information-Brochure-Updated-on-11.04.2026.pdf,,,,,,
estimated_value,mht-cet-2026,MHT-CET 2026,"State Common Entrance Test Cell, Maharashtra",Certificate of limitation in writing (Appendix 1 / Appendix 2),certificate_of_limitation_in_writing_appendix_1_,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cetcell.mahacet.org/wp-content/uploads/2023/12/MHT-CET-2026-Information-Brochure-Updated-on-11.04.2026.pdf,,,,,,
estimated_value,mp-patwari-recruitment-examination,MP Patwari Recruitment Examination,Madhya Pradesh Employees Selection Board,"Combined colour photograph, signature and handwritten sample/template",combined_colour_photograph_signature_and_handwri,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://esb.mp.gov.in/Rulebooks/rule_books_ESB26.htm,,,,,,
estimated_value,mp-patwari-recruitment-examination,MP Patwari Recruitment Examination,Madhya Pradesh Employees Selection Board,Date-of-birth marksheet/proof,date_of_birth_marksheet_proof,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/Rulebooks/rule_books_ESB26.htm,,,,,,
estimated_value,mp-patwari-recruitment-examination,MP Patwari Recruitment Examination,Madhya Pradesh Employees Selection Board,Reservation/category certificate,reservation_category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/Rulebooks/rule_books_ESB26.htm,,,,,,
estimated_value,mp-patwari-recruitment-examination,MP Patwari Recruitment Examination,Madhya Pradesh Employees Selection Board,PwD/other claim-supporting certificate,pwd_other_claim_supporting_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/Rulebooks/rule_books_ESB26.htm,,,,,,
estimated_value,mp-police-constable-recruitment-test,MP Police Constable Recruitment Test,Madhya Pradesh Employees Selection Board,"Combined colour photograph, signature and handwritten sample/template",combined_colour_photograph_signature_and_handwri,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PCRT_2025_Rulebook.pdf,,,,,,
estimated_value,mp-police-constable-recruitment-test,MP Police Constable Recruitment Test,Madhya Pradesh Employees Selection Board,Date-of-birth marksheet/proof,date_of_birth_marksheet_proof,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PCRT_2025_Rulebook.pdf,,,,,,
estimated_value,mp-police-constable-recruitment-test,MP Police Constable Recruitment Test,Madhya Pradesh Employees Selection Board,Reservation/category certificate,reservation_category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PCRT_2025_Rulebook.pdf,,,,,,
estimated_value,mp-police-constable-recruitment-test,MP Police Constable Recruitment Test,Madhya Pradesh Employees Selection Board,PwD/other claim-supporting certificate,pwd_other_claim_supporting_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PCRT_2025_Rulebook.pdf,,,,,,
estimated_value,mp-primary-school-teacher-eligibility-test,MP Primary School Teacher Eligibility Test,Madhya Pradesh Employees Selection Board,"Combined colour photograph, signature and handwritten sample/template",combined_colour_photograph_signature_and_handwri,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PSTST_2025_Final_RuleBook.pdf,,,,,,
estimated_value,mp-primary-school-teacher-eligibility-test,MP Primary School Teacher Eligibility Test,Madhya Pradesh Employees Selection Board,Date-of-birth marksheet/proof,date_of_birth_marksheet_proof,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PSTST_2025_Final_RuleBook.pdf,,,,,,
estimated_value,mp-primary-school-teacher-eligibility-test,MP Primary School Teacher Eligibility Test,Madhya Pradesh Employees Selection Board,Reservation/category certificate,reservation_category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PSTST_2025_Final_RuleBook.pdf,,,,,,
estimated_value,mp-primary-school-teacher-eligibility-test,MP Primary School Teacher Eligibility Test,Madhya Pradesh Employees Selection Board,PwD/other claim-supporting certificate,pwd_other_claim_supporting_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://esb.mp.gov.in/rulebooks/RB_2025/PSTST_2025_Final_RuleBook.pdf,,,,,,
estimated_value,mpsc-online-application,MPSC Online Application,Maharashtra Public Service Commission,Claim-supporting certificates,claim_supporting_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://mpsconline.gov.in/downloads/Instructions-for-Filling-the-Application-Form.pdf,,,,,,
estimated_value,neet-pg,NEET-PG,National Board of Examinations in Medical Sciences,Medical registration certificate,medical_registration_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://www.natboard.edu.in/pdoof/User_Manual_NEETPG_2024.pdf,,,,,,
estimated_value,neet-ug-2026,NEET (UG) 2026,National Testing Agency,Left and right hand fingers and thumb impressions,left_and_right_hand_fingers_and_thumb_impression,"min 20 KB, max 50 KB, jpg/jpeg (ours: file_size.maximum_bytes, file_size.minimum_bytes)",The published size limit and size limit,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf,,,,,,
estimated_value,neet-ug-2026,NEET (UG) 2026,National Testing Agency,Citizenship certificate,citizenship_certificate,"max 400 KB, jpg/jpeg (ours: file_size.maximum_bytes)",The published size limit,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf,,,,,,
estimated_value,neet-ug-2026,NEET (UG) 2026,National Testing Agency,Scribe's signature,scribe_s_signature,"min 10 KB, max 100 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf,,,,,,
not_yet_supported,neet-ug-2026,NEET (UG) 2026,National Testing Agency,Undertaking for using own scribe (Annexure-III / Annexure-V),undertaking_for_using_own_scribe_annexure_iii_an,"Between 50 kb and 300 kb, clearly legible. Prescribed proforma at Annexure-III (40% or more disability) or Annexure-V (less than 40%).","The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf,,,,,,
not_yet_supported,neet-ug-2026,NEET (UG) 2026,National Testing Agency,Verification of identity certificate attested by Principal/Headmaster or a Class-I Gazetted Officer (Annexure-VI),verification_of_identity_certificate_attested_by,"Signed and attested certificate carrying a recent photograph, in the Annexure-VI proforma. No file size or format is published for this item.","The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf,,,,,,
not_yet_supported,odisha-joint-entrance-examination-ojee,Odisha Joint Entrance Examination (OJEE),OJEE Committee,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://ojee.nic.in/document/instructions-for-filling-up-the-application-form-for-ojee-2026/,,,,,,
estimated_value,odisha-joint-entrance-examination-ojee,Odisha Joint Entrance Examination (OJEE),OJEE Committee,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://ojee.nic.in/document/instructions-for-filling-up-the-application-form-for-ojee-2026/,,,,,,
not_yet_supported,rajasthan-eligibility-examination-for-teachers-reet,Rajasthan Eligibility Examination for Teachers (REET),Board of Secondary Education Rajasthan,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://rajeduboard.rajasthan.gov.in/reet2024final121224.PDF,,,,,,
estimated_value,rajasthan-eligibility-examination-for-teachers-reet,Rajasthan Eligibility Examination for Teachers (REET),Board of Secondary Education Rajasthan,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://rajeduboard.rajasthan.gov.in/reet2024final121224.PDF,,,,,,
not_yet_supported,rajasthan-police-constable-recruitment,Rajasthan Police Constable Recruitment,Rajasthan Police,OTR/profile photograph,otr_profile_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://police.rajasthan.gov.in/portal/RecruitmentsResults,,,,,,
estimated_value,rajasthan-police-constable-recruitment,Rajasthan Police Constable Recruitment,Rajasthan Police,OTR/profile signature,otr_profile_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://police.rajasthan.gov.in/portal/RecruitmentsResults,,,,,,
not_yet_supported,rajasthan-pre-d-el-ed-examination-bstc,Rajasthan Pre-D.El.Ed Examination (BSTC),Vardhman Mahaveer Open University / designated authority,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://predeledraj2026.com/,,,,,,
